SECTION,METADATA
Key,Value
Export Date,2025-10-21T10:00:00.000Z
Version,2.0
Description,Comprehensive Test Dataset for Bug Investigation - 80 Tasks

SECTION,SETTINGS
Key,Value
Estimation Base Hours,8
Project Hours Per Day,8
Use Common Start Date,false
Common Start Date,2025-10-21
Current Ticket ID,81

SECTION,TASK_SIZES
Size Key,Name,Days,Removable
XS,"XS",0.5,false
S,"S",1,false
M,"M",3,false
L,"L",5,false
XL,"XL",8,false

SECTION,PEOPLE
Name,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Project Ready
"Sarah",25,25,25,25,25,25,25,25,Yes
"Marcus",40,40,32,40,40,40,40,40,Yes
"Priya",40,40,40,40,40,40,32,40,Yes
"David",32,40,40,40,40,40,32,40,Yes
"Lisa",40,32,40,40,40,40,40,40,Yes
"Ahmed",40,40,40,32,40,40,40,40,Yes
"Emma",40,40,40,40,40,32,40,40,Yes
"James",40,40,40,40,40,40,40,40,Yes
"Olivia",32,40,40,40,40,40,40,40,Yes
"Robert",40,40,40,40,32,40,40,40,Yes

SECTION,STAKEHOLDERS
Name
"Engineering Leadership"
"Product Management"
"Customer Success"
"Security Team"
"DevOps Team"
"QA Team"

SECTION,INITIATIVES
Name,Creation Date,Start Date
"API Modernization",2025-09-15,2025-10-01
"Cloud Migration Phase 1",2025-09-20,2025-10-06
"Mobile App Development",2025-09-25,2025-11-01
"Security Hardening",2025-10-01,2025-10-15
"Performance Optimization",2025-10-05,2025-10-20
"Testing Framework Upgrade",2025-10-10,2025-11-01
"Database Scaling",2025-10-12,2025-10-25
"UI/UX Redesign",2025-10-15,2025-11-10

SECTION,TICKETS
UUID,ID,Description,Start Date,Size,Priority,Stakeholder,Initiative,Assigned Team,Status,Task Type,Pause Comments,Start Date History,End Date History,Size History,Custom End Date,Details: Description,Details: Positives,Details: Negatives
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,1,"Design RESTful API endpoints for user management",2025-10-06,M,P1,"Engineering Leadership","API Modernization","Marcus","In Progress","Fixed","","2025-10-06(Initial planning@2025-10-01)","","M:3d(Initial sizing@2025-10-01)","","Complete API design for user CRUD operations","Modern REST standards","Backward compatibility needed"
b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,2,"Implement OAuth2 authentication flow",2025-10-08,L,P1,"Security Team","API Modernization","Priya","To Do","Fixed","","2025-10-08(Initial planning@2025-10-01)","","L:5d(Initial sizing@2025-10-01)","","Add OAuth2 support for secure authentication","Industry standard","Complex implementation"
c3d4e5f6-a7b8-4c9d-0e1f-2a3b4c5d6e7f,3,"Create API documentation with Swagger",2025-10-13,M,P2,"Product Management","API Modernization","Lisa","To Do","Fixed","","2025-10-13(Initial planning@2025-10-01)","","M:3d(Initial sizing@2025-10-01)","","Generate comprehensive API docs","Developer friendly","Needs maintenance"
d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,4,"Setup rate limiting middleware",2025-10-15,S,P2,"Engineering Leadership","API Modernization","Ahmed","To Do","Fixed","","2025-10-15(Initial planning@2025-10-01)","","S:1d(Initial sizing@2025-10-01)","","Implement request throttling","Prevents abuse","May impact legitimate users"
e5f6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b,5,"Add request/response logging",2025-10-16,S,P3,"DevOps Team","API Modernization","Emma","To Do","Fixed","","2025-10-16(Initial planning@2025-10-01)","","S:1d(Initial sizing@2025-10-01)","","Comprehensive logging for debugging","Better observability","Storage overhead"
f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8a9b0c,6,"Implement API versioning strategy",2025-10-19,M,P1,"Engineering Leadership","API Modernization","Sarah","To Do","Fixed","","2025-10-19(Initial planning@2025-10-01)","","M:3d(Initial sizing@2025-10-01)","","Design and implement v1/v2 versioning","Future-proof","Breaking changes managed"
a7b8c9d0-e1f2-4a3b-4c5d-6e7f8a9b0c1d,7,"Create automated API tests",2025-10-20,L,P2,"QA Team","API Modernization","James","To Do","Fixed","","2025-10-20(Initial planning@2025-10-01)","","L:5d(Initial sizing@2025-10-01)","","Comprehensive test suite for all endpoints","High confidence","Time intensive"
b8c9d0e1-f2a3-4b4c-5d6e-7f8a9b0c1d2e,8,"Setup API monitoring and alerts",2025-10-25,M,P2,"DevOps Team","API Modernization","Robert","To Do","Fixed","","2025-10-25(Initial planning@2025-10-01)","","M:3d(Initial sizing@2025-10-01)","","Monitor API health and performance","Early problem detection","Alert fatigue risk"
c9d0e1f2-a3b4-4c5d-6e7f-8a9b0c1d2e3f,9,"Implement caching layer",2025-10-28,L,P2,"Engineering Leadership","API Modernization","Marcus;Priya","To Do","Fixed","","2025-10-28(Initial planning@2025-10-01)","","L:5d(Initial sizing@2025-10-01)","","Add Redis caching for performance","Faster responses","Cache invalidation complexity"
d0e1f2a3-b4c5-4d6e-7f8a-9b0c1d2e3f4a,10,"Migrate authentication service to cloud",2025-10-06,XL,P1,"DevOps Team","Cloud Migration Phase 1","David","In Progress","Fixed","","2025-10-06(Initial planning@2025-09-20)","","XL:8d(Initial sizing@2025-09-20)","","Move auth service to AWS Lambda","Scalable","Complex migration"
